Code,Basin,Short Name,Recoveries,,
2MS27P125BAJO PT 02,NWVI,WSPT BAJO PT (125-2),10,,
2MS27H025BAJO PT,NWVI,WSPT BAJO PT [H025],2,,
2MS27P025BAJO PT,NWVI,WSPT BAJO PT (P025),1,,
2MS27P125BAJO RF 02,NWVI,WSPT BAJO RF (125-2),1149,,
2MS27H025BAJO RF,NWVI,WSPT BAJO RF [H025],35,,
2MS27P025BLAC RK 13,NWVI,WSPT BLAC RK (25-13),77,,
2MS27P125BLAC RK,NWVI,WSPT BLAC RK (P125),17,,
2MS27P025BLIG IS 15,NWVI,WSPT BLIG IS (25-15),28,,
2MS27P025BLIN RF,NWVI,WSPT BLIN RF (P025),6,,
2MS27P025BOST PT 06,NWVI,WSPT BOST PT (25-6),12,,
2MS27P027BRCK IS 07,NWVI,WSPT BRCK IS (27-7),1,,
2MS27H027BROO BO,NWVI,WSPT BROO BO [H027],111,,
2MS27P027BROO BY 04,NWVI,WSPT BROO BY (27-4),48,,
2MS27P127BROO BY,NWVI,WSPT BROO BY (P127),204,,
2MS27P126BROO PN,NWVI,WSPT BROO PN (P126),6,,
2MS27P026CACH IN 03,NWVI,WSPT CACH IN (26-3),1,,
2MS27P025CAME RK 04,NWVI,WSPT CAME RK (25-4),244,,
2MS27P025CANA IS 13,NWVI,WSPT CANA IS (25-13),21,,
2MS27H025CATA IO,NWVI,WSPT CATA IO [H025],2,,
2MS27P025CATA IS 13,NWVI,WSPT CATA IS (25-13),420,,
2MS27P125CATA IS,NWVI,WSPT CATA IS (P125),154,,
2MS27P025CEEPEEC 09,NWVI,WSPT CEEPEEC (25-9),14,,
2MS27P025CENT IS 13,NWVI,WSPT CENT IS (25-13),44,,
2MS27H025CENT IS,NWVI,WSPT CENT IS [H025],13,,
2MS27P126CLER PT 11,NWVI,WSPT CLER PT (26-11),1,,
2MS27P027CLIF PT 02,NWVI,WSPT CLIF PT (27-2),346,,
2MS27P027COAL HA 11,NWVI,WSPT COAL HA (27-11),5,,
2MS27P025COHE PT 04,NWVI,WSPT COHE PT (25-4),4,,
2MS27P025CONC PT 04,NWVI,WSPT CONC PT (25-4),4,,
