Fishery,Data,Coverage,Spatial,Temporal,Source,Years
Commercial,Catch,WCVI,PFMA,Daily,Logbooks,
,Composition,WCVI,Region,Weekly,Dockside sampling,2007-2015
Recreational,Catch,WCVI; Salish Sea,Sub-PFMA,Monthly,Overflights/creel,
,Composition,Salish Sea,Sub-PFMA,Weekly,Voluntary submission,2014-2019
