record_code,format_version,submission_date,reporting_agency,sampling_agency,recovery_id,species,run_year,recovery_date,recovery_date_type,period_type,period,fishery,gear,adclip_selective_fishery,estimation_level,recovery_location_code,sampling_site,recorded_mark,sex,weight,weight_code,weight_type,length,length_code,length_type,detection_method,tag_status,tag_code,tag_type,sequential_number,sequential_column_number,sequential_row_number,catch_sample_id,sample_type,sampled_maturity,sampled_run,sampled_length_range,sampled_sex,sampled_mark,estimated_number,recovery_location_name,record_origin,release_location_state,release_location_rmis_region,release_location_rmis_basin,hatchery_location_name,stock_location_name,brood_year,run,hatchery_location_code,stock_location_code,last_release_date_year
"R","4.1","20200204","CDFO","CDFO","S1327195","1","2019","20190806","R","5","08","40","07","N","3","2MS61P013CP MUDG 02",,"5000",,,,,"630","0","1","V","1","184299","12",,,,"00611608","6",,,,,,"3.6","JSSSPTCP MUDG (13-2)","N","BC","GST","GSVI","H-Cowichan River H","S-Cowichan R","2016","3","2FS  GSVIH0118","2FS  GSVIS0118","2017"
"R","4.1","20200204","CDFO","CDFO","S1216756","1","2019","20190721","R","5","07","40","07","N","3","2MS62P015MACE PT 02",,"5000",,,,,"680","0","1","V","1","184167","12",,,,"00621607","6",,,,,,"10.7","GSSPTCMACE PT (15-2)","N","BC","GST","GSMS","H-Capilano River H","S-Chilliwack R","2016","3","2FS  GSMNH0103","2FS  LWFRS0107","2017"
"R","4.1","20200204","CDFO","CDFO","S1321161","1","2019","20190729","R","5","07","40","07","N","3","2MS27P025NOOT LT 07",,"5000",,,,,"840","0","1","V","1","182878","12",,,,"00271607","6",,,,,,"7.22","WSPT  NOOT LT (25-7)","N","BC","WCVI","SWVI","H-Alberni Inlet Seapen","S-Robertson Cr","2014","3","2MS  SWVIH9049","2FS  SWVIS0104","2015"
"R","4.1","20200204","CDFO","CDFO","S1388808","1","2019","20190719","R","5","07","40","07","N","3","2MS27P121",,"5000",,,,,,,,"V","1","220244","12",,,,"00271607","6",,,,,,"7.22","WSPT         P121","N","ID","SNAK","CLEA","NPT HATCHERY","LYONS FERRY HATCHERY","2015","8","4F-1706030601905.61","3F42001  330002 S01","2016"
"R","4.1","20200204","CDFO","CDFO","S1388901","1","2019","20190725","R","5","07","40","07","N","3","2MS27P123BIG BK  08",,"5000",,,,,,,,"V","1","637154","12",,,,"00271607","6",,,,,,"7.22","WSPT  BIG BK (123-8)","N","WA","LOCR","COWL","NORTH TOUTLE HATCHERY","TOUTLE R     26.0227","2016","3","3F42001  260323 H","3F42001  260227 S","2017"
"R","4.1","20200204","CDFO","CDFO","S1198014","1","2019","20190714","C","5","07","40","07","N","3","2MS27P025",,"5000",,,,,,,,"V","1","184099","12",,,,"027D1107","1",,,,,,"1.01","WSPT         P025","N","BC","WCVI","SWVI","H-Tofino H","S-Bedwell R","2015","3","2FS  SWVIH1901","2FS  SWVIS6738","2016"
"R","4.1","20200204","CDFO","CDFO","S1330392","1","2019","20190720","R","5","07","40","07","N","3","2MS62P016",,"5000",,,,,"700","0","1","V","1","184099","12",,,,"00621607","6",,,,,,"10.7","GSSPTC       P016","N","BC","WCVI","SWVI","H-Tofino H","S-Bedwell R","2015","3","2FS  SWVIH1901","2FS  SWVIS6738","2016"
"R","4.1","20200204","CDFO","CDFO","S1337731","1","2019","20190813","R","5","08","40","07","N","3","2MS27P121",,"5000",,,,,"860","0","1","V","1","183594","12",,,,"00271608","6",,,,,,"8.31","WSPT         P121","N","BC","WCVI","SWVI","H-Port Renfrew Seapen","S-San Juan R","2015","3","2MS  SWVIH5898","2FS  SWVIS0093","2016"
"R","4.1","20200204","CDFO","CDFO","S1198007","1","2019","20190716","R","5","07","40","07","N","3","2MS27P025BLAC RK 13",,"5000","F",,,,"770","0","1","V","1","185362","12",,,,"027D1107","1",,,,,,"1.01","WSPT  BLAC RK (25-13)","N","BC","WCVI","SWVI","H-Robertson Creek H","S-Nahmint R","2015","3","2FS  SWVIH0104","2FS  SWVIS0413","2016"
"R","4.1","20200204","CDFO","CDFO","S1130088","1","2019","20190627","R","5","06","40","07","N","3","2MS27P123KEEH BY 01",,"5000",,,,,"850","0","1","V","1","636963","12",,,,"027D1106","1",,,,,,"1.05","WSPT  KEEH BY (123-1)","N","WA","JUAN","ELDU","ELWHA HATCHERY","ELWHA R      18.0272","2015","3","3F10806  180272 H","3F10806  180272 S","2016"
"R","4.1","20200204","CDFO","CDFO","S1425931","1","2019","20190624","R","5","06","40","07","N","4","2MN26P010CP CAUT",,"5000",,,,,"760","0","1","V","1","183464","12",,,,,"3",,,,,,"5.96","CSPT  CP CAUT (P010)","N","BC","CEBC","CCST","H-Snootli Creek H","S-Atnarko R Up","2014","2","2FN  CCSTH0140","2FN  CCSTS1940","2015"
