CRUISE NUMBER,STATION,SPECIES,FISH NUMBER,FL (mm),WT (mm),CWT,FIN CLIP,SEX,OTOLITH #,(0/1),DNA #,SAMPLE,1-PREY,1-VOL (cc),1-D,2-PREY,2-VOL (cc),2-D,3-PREY,3-VOL (cc),3-D,COMMENTS
2019-125,JS01,CHINOOK,004,164,52,,,,CK-1-A4,,124304,W,M002,,,,,,,,,
2019-125,JS01,CHINOOK,005,106,12,,,,CK-1-A5,,124305,W,M011,0.01,5,,,,,,,
2019-125,JS01,CHINOOK,006,132,25,,,,CK-1-A6,,124306,M,M002,,,,,,,,,
2019-125,JS01,CHINOOK,007,154,38,,,,CK-1-A7,,124307,M,M002,,,,,,,,,
2019-125,JS01,CHINOOK,008,202,96,Y,AD,,CK-1-A8,,124308,M,SCA,0.1,5,,,,,,,
2019-125,JS01,CHINOOK,009,160,48,,,,CK-1-A9,,124309,M,M011,0.01,5,,,,,,,
2019-125,JS01,CHINOOK,010,168,53,,,,CK-1-A10,,124310,M,M002,,,,,,,,,
2019-125,JS01,CHINOOK,011,174,59,,,,,,,,,,,,,,,,,
2019-125,JS01,CHINOOK,012,179,61,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,001,099,10,,,,,,,W,M011,0.01,5,,,,,,,
2019-125,JS01,HERRING,002,108,13,,,,,,,W,M011,0.01,5,,,,,,,
2019-125,JS01,HERRING,003,110,13,,,,,,,W,M002,,,,,,,,,
2019-125,JS01,HERRING,004,106,13,,,,,,,W,M002,,,,,,,,,
2019-125,JS01,HERRING,005,094,9,,,,,,,W,M002,,,,,,,,,
2019-125,JS01,HERRING,006,094,9,,,,,,,M,M002,,,,,,,,,
2019-125,JS01,HERRING,007,110,16,,,,,,,M,M011,0.01,5,,,,,,,
2019-125,JS01,HERRING,008,106,13,,,,,,,M,M002,,,,,,,,,
2019-125,JS01,HERRING,009,090,7,,,,,,,M,M002,,,,,,,,,
2019-125,JS01,HERRING,010,094,9,,,,,,,M,M002,,,,,,,,,
2019-125,JS01,HERRING,011,105,13,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,012,091,8,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,013,112,17,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,014,101,10,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,015,109,13,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,016,105,13,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,017,094,9,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,018,105,12,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,019,100,10,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,020,106,13,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,021,102,11,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,022,087,7,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,023,096,9,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,024,109,15,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,025,099,11,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,026,101,10,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,027,097,10,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,028,087,7,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,029,097,10,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,030,100,11,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,031,090,9,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,032,095,9,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,033,102,12,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,034,097,11,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,035,098,11,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,036,102,13,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,037,102,11,,,,,,,,,,,,,,,,,
