"FISH_NUMBER","DATE_CAPTURED","SPECIES","SHIP_FL","SHIP_SL","SHIP_TL","SHIP_ML","SHIP_WT","OTOLITH","CWT_AGE","GONAD_WT","FIN_CL","SEX","SAMPLE","COMMENTS","TEMPORARY_TAG"
"BCSI-2019125-JS06-108-015","Tuesday, Oct 1, 2019","PINK",162,"","","",42,"","","","","","","",""
"BCSI-2019125-JS06-108-016","Tuesday, Oct 1, 2019","PINK",163,"","","",44,"","","","","","","",""
"BCSI-2019125-JS06-108-017","Tuesday, Oct 1, 2019","PINK",161,"","","",42,"","","","","","","",""
"BCSI-2019125-JS06-108-018","Tuesday, Oct 1, 2019","PINK",156,"","","",39,"","","","","","","",""
"BCSI-2019125-JS06-108-019","Tuesday, Oct 1, 2019","PINK",154,"","","",39,"","","","","","","",""
"BCSI-2019125-JS06-108-020","Tuesday, Oct 1, 2019","PINK",177,"","","",55,"","","","","","","",""
"BCSI-2019125-JS06-108-021","Tuesday, Oct 1, 2019","PINK",152,"","","",35,"","","","","","","",""
"BCSI-2019125-JS06-108-022","Tuesday, Oct 1, 2019","PINK",149,"","","",33,"","","","","","","",""
"BCSI-2019125-JS06-124-001","Tuesday, Oct 1, 2019","CHINOOK",195,"","","",84,"CK-1-B8","","","","","W","",""
"BCSI-2019125-JS06-112-001","Tuesday, Oct 1, 2019","CHUM",170,"","","",51,"CM-1-B10","","","","","W","",""
"BCSI-2019125-JS07-118-001","Wednesday, Oct 2, 2019","SOCKEYE",157,"","","",36,"SE-1-A6","","","","","W","BLOOD 337",""
"BCSI-2019125-JS07-118-002","Wednesday, Oct 2, 2019","SOCKEYE",164,"","","",41,"SE-1-A7","","","","","W","BLOOD 338",""
"BCSI-2019125-JS07-118-003","Wednesday, Oct 2, 2019","SOCKEYE",144,"","","",30,"SE-1-A8","","","","","W","BLOOD 339",""
"BCSI-2019125-JS07-118-004","Wednesday, Oct 2, 2019","SOCKEYE",162,"","","",39,"SE-1-A9","","","","","W","BLOOD 340",""
"BCSI-2019125-JS07-118-005","Wednesday, Oct 2, 2019","SOCKEYE",160,"","","",40,"SE-1-A10","","","","","W","BLOOD 341",""
"BCSI-2019125-JS07-118-006","Wednesday, Oct 2, 2019","SOCKEYE",167,"","","",50,"SE-1-A11","","","","","W","BLOOD 342",""
"BCSI-2019125-JS07-118-007","Wednesday, Oct 2, 2019","SOCKEYE",162,"","","",42,"SE-1-A12","","","","","W","BLOOD 343",""
"BCSI-2019125-JS07-118-008","Wednesday, Oct 2, 2019","SOCKEYE",147,"","","",33,"SE-1-B1","","","","","W","BLOOD 344",""
"BCSI-2019125-JS07-118-009","Wednesday, Oct 2, 2019","SOCKEYE",156,"","","",38,"SE-1-B2","","","","","W","BLOOD 345",""
"BCSI-2019125-JS07-118-010","Wednesday, Oct 2, 2019","SOCKEYE",145,"","","",29,"SE-1-B3","","","","","W","BLOOD 346",""
"BCSI-2019125-JS07-118-011","Wednesday, Oct 2, 2019","SOCKEYE",146,"","","",35,"","","","","","","",""
"BCSI-2019125-JS07-118-012","Wednesday, Oct 2, 2019","SOCKEYE",146,"","","",32,"","","","","","","",""
"BCSI-2019125-JS07-118-013","Wednesday, Oct 2, 2019","SOCKEYE",150,"","","",35,"","","","","","","",""
"BCSI-2019125-JS07-118-014","Wednesday, Oct 2, 2019","SOCKEYE",147,"","","",35,"","","","","","","",""
"BCSI-2019125-JS07-118-015","Wednesday, Oct 2, 2019","SOCKEYE",152,"","","",35,"","","","","","","",""
"BCSI-2019125-JS07-118-016","Wednesday, Oct 2, 2019","SOCKEYE",154,"","","",39,"","","","","","","",""
"BCSI-2019125-JS07-118-017","Wednesday, Oct 2, 2019","SOCKEYE",141,"","","",27,"","","","","","","",""
"BCSI-2019125-JS07-118-018","Wednesday, Oct 2, 2019","SOCKEYE",163,"","","",44,"","","","","","","",""
"BCSI-2019125-JS07-118-019","Wednesday, Oct 2, 2019","SOCKEYE",147,"","","",32,"","","","","","","",""
"BCSI-2019125-JS07-118-020","Wednesday, Oct 2, 2019","SOCKEYE",155,"","","",38,"","","","","","","",""
"BCSI-2019125-JS07-118-021","Wednesday, Oct 2, 2019","SOCKEYE",155,"","","",38,"","","","","","","",""
"BCSI-2019125-JS07-118-022","Wednesday, Oct 2, 2019","SOCKEYE",139,"","","",28,"","","","","","","",""
"BCSI-2019125-JS07-118-023","Wednesday, Oct 2, 2019","SOCKEYE",145,"","","",32,"","","","","","","",""
"BCSI-2019125-JS07-118-024","Wednesday, Oct 2, 2019","SOCKEYE",145,"","","",32,"","","","","","","",""
"BCSI-2019125-JS07-108-001","Wednesday, Oct 2, 2019","PINK",144,"","","",27,"PK-1-C8","","","","","W","",""
"BCSI-2019125-JS07-108-002","Wednesday, Oct 2, 2019","PINK",168,"","","",42,"PK-1-C9","","","","","W","",""
"BCSI-2019125-JS07-108-003","Wednesday, Oct 2, 2019","PINK",160,"","","",41,"PK-1-C10","","","","","W","",""
"BCSI-2019125-JS07-108-004","Wednesday, Oct 2, 2019","PINK",149,"","","",33,"PK-1-C11","","","","","W","",""
"BCSI-2019125-JS07-108-005","Wednesday, Oct 2, 2019","PINK",163,"","","",40,"PK-1-C12","","","","","W","",""
"BCSI-2019125-JS07-108-006","Wednesday, Oct 2, 2019","PINK",148,"","","",32,"PK-1-D1","","","","","M","",""
"BCSI-2019125-JS07-108-007","Wednesday, Oct 2, 2019","PINK",170,"","","",54,"PK-1-D2","","","","","M","",""
"BCSI-2019125-JS07-108-008","Wednesday, Oct 2, 2019","PINK",161,"","","",43,"PK-1-D3","","","","","M","",""
"BCSI-2019125-JS07-108-009","Wednesday, Oct 2, 2019","PINK",168,"","","",41,"PK-1-D4","","","","","M","",""
"BCSI-2019125-JS07-108-010","Wednesday, Oct 2, 2019","PINK",163,"","","",42,"PK-1-D5","","","","","M","",""
"BCSI-2019125-JS07-108-011","Wednesday, Oct 2, 2019","PINK",159,"","","",30,"","","","","","","",""
"BCSI-2019125-JS07-108-012","Wednesday, Oct 2, 2019","PINK",171,"","","",47,"","","","","","","",""
"BCSI-2019125-JS07-108-013","Wednesday, Oct 2, 2019","PINK",185,"","","",59,"","","","","","","",""
"BCSI-2019125-JS07-108-014","Wednesday, Oct 2, 2019","PINK",202,"","","",87,"","","","","","","",""
"BCSI-2019125-JS07-108-015","Wednesday, Oct 2, 2019","PINK",155,"","","",37,"","","","","","","",""
"BCSI-2019125-JS07-108-016","Wednesday, Oct 2, 2019","PINK",169,"","","",45,"","","","","","","",""
"BCSI-2019125-JS07-108-017","Wednesday, Oct 2, 2019","PINK",152,"","","",35,"","","","","","","",""
"BCSI-2019125-JS07-108-018","Wednesday, Oct 2, 2019","PINK",180,"","","",61,"","","","","","","",""
"BCSI-2019125-JS07-108-019","Wednesday, Oct 2, 2019","PINK",198,"","","",81,"","","","","","","",""
"BCSI-2019125-JS07-108-020","Wednesday, Oct 2, 2019","PINK",160,"","","",42,"","","","","","","",""
"BCSI-2019125-JS07-108-021","Wednesday, Oct 2, 2019","PINK",172,"","","",54,"","","","","","","",""
"BCSI-2019125-JS07-108-022","Wednesday, Oct 2, 2019","PINK",155,"","","",39,"","","","","","","",""
"BCSI-2019125-JS07-108-023","Wednesday, Oct 2, 2019","PINK",146,"","","",30,"","","","","","","",""
"BCSI-2019125-JS07-108-024","Wednesday, Oct 2, 2019","PINK",157,"","","",43,"","","","","","","",""
"BCSI-2019125-JS07-108-025","Wednesday, Oct 2, 2019","PINK",158,"","","",38,"","","","","","","",""
"BCSI-2019125-JS07-108-026","Wednesday, Oct 2, 2019","PINK",151,"","","",34,"","","","","","","",""
"BCSI-2019125-JS07-108-027","Wednesday, Oct 2, 2019","PINK",171,"","","",52,"","","","","","","",""
"BCSI-2019125-JS07-108-028","Wednesday, Oct 2, 2019","PINK",158,"","","",40,"","","","","","","",""
"BCSI-2019125-JS07-108-029","Wednesday, Oct 2, 2019","PINK",170,"","","",54,"","","","","","","",""
"BCSI-2019125-JS07-108-030","Wednesday, Oct 2, 2019","PINK",145,"","","",30,"","","","","","","",""
"BCSI-2019125-JS07-112-001","Wednesday, Oct 2, 2019","CHUM",196,"","","",88,"","","","","","W","",""
"BCSI-2019125-JS07-112-002","Wednesday, Oct 2, 2019","CHUM",200,"","","",80,"CM-1-B11","","","","","W","",""
"BCSI-2019125-JS07-112-003","Wednesday, Oct 2, 2019","CHUM",204,"","","",89,"CM-1-B12","","","","","W","",""
"BCSI-2019125-JS07-112-004","Wednesday, Oct 2, 2019","CHUM",201,"","","",83,"CM-1-C1","","","","","W","",""
"BCSI-2019125-JS07-112-005","Wednesday, Oct 2, 2019","CHUM",199,"","","",79,"CM-1-C2","","","","","W","",""
"BCSI-2019125-JS07-112-006","Wednesday, Oct 2, 2019","CHUM",202,"","","",88,"CM-1-C3","","","","","M","",""
"BCSI-2019125-JS07-112-007","Wednesday, Oct 2, 2019","CHUM",177,"","","",61,"CM-1-C4","","","","","M","",""
"BCSI-2019125-JS07-112-008","Wednesday, Oct 2, 2019","CHUM",191,"","","",69,"CM-1-C5","","","","","M","",""
"BCSI-2019125-JS07-112-009","Wednesday, Oct 2, 2019","CHUM",202,"","","",81,"CM-1-C6","","","","","M","",""
"BCSI-2019125-JS07-112-010","Wednesday, Oct 2, 2019","CHUM",205,"","","",91,"CM-1-C7","","","","","M","",""
"BCSI-2019125-JS07-112-011","Wednesday, Oct 2, 2019","CHUM",195,"","","",72,"","","","","","","",""
"BCSI-2019125-JS07-112-012","Wednesday, Oct 2, 2019","CHUM",197,"","","",72,"","","","","","","",""
"BCSI-2019125-JS07-112-013","Wednesday, Oct 2, 2019","CHUM",204,"","","",85,"","","","","","","",""
"BCSI-2019125-JS07-112-014","Wednesday, Oct 2, 2019","CHUM",199,"","","",77,"","","","","","","",""
"BCSI-2019125-JS07-112-015","Wednesday, Oct 2, 2019","CHUM",200,"","","",86,"","","","","","","",""
"BCSI-2019125-JS07-112-016","Wednesday, Oct 2, 2019","CHUM",210,"","","",96,"","","","","","","",""
"BCSI-2019125-JS07-112-017","Wednesday, Oct 2, 2019","CHUM",202,"","","",83,"","","","","","","",""
"BCSI-2019125-JS07-112-018","Wednesday, Oct 2, 2019","CHUM",211,"","","",98,"","","","","","","",""
"BCSI-2019125-JS07-NA-001","Wednesday, Oct 2, 2019","CHUM ADULT",668,"","","",3490,"CM-1-C8","","","","M","M","",""
"BCSI-2019125-JS07-115-001","Wednesday, Oct 2, 2019","COHO",362,"","","",572,"CO-1-A1","","","","M","M","",""
"BCSI-2019125-JS07-NA-001","Wednesday, Oct 2, 2019","SABLEFISH",254,"","","",145,"","","","","","","",""
"BCSI-2019125-JS07-NA-002","Wednesday, Oct 2, 2019","SABLEFISH",269,"","","",179,"","","","","","","",""
"BCSI-2019125-JS08-118-001","Wednesday, Oct 2, 2019","SOCKEYE",145,"","","",32,"SE-1-B4","","","","","W","BLOOD 347",""
"BCSI-2019125-JS08-NA-001","Wednesday, Oct 2, 2019","CHINOOK ADULT",345,"","","",541,"CK-1-B9","","","AD","M","M","",""
"BCSI-2019125-JS08-112-001","Wednesday, Oct 2, 2019","CHUM",201,"","","",84,"CM-1-C9","","","","","W","",""
"BCSI-2019125-JS08-108-001","Wednesday, Oct 2, 2019","PINK",160,"","","",39,"PK-1-D6","","","","","W","",""
"BCSI-2019125-JS08-108-002","Wednesday, Oct 2, 2019","PINK",203,"","","",84,"PK-1-D7","","","","","W","",""
"BCSI-2019125-JS08-108-003","Wednesday, Oct 2, 2019","PINK",157,"","","",35,"PK-1-D8","","","","","W","",""
"BCSI-2019125-JS08-108-004","Wednesday, Oct 2, 2019","PINK",163,"","","",39,"PK-1-D9","","","","","W","",""
"BCSI-2019125-JS08-108-005","Wednesday, Oct 2, 2019","PINK",168,"","","",48,"PK-1-D10","","","","","W","",""
"BCSI-2019125-JS08-108-006","Wednesday, Oct 2, 2019","PINK",170,"","","",51,"PK-1-D11","","","","","M","",""
"BCSI-2019125-JS08-108-007","Wednesday, Oct 2, 2019","PINK",166,"","","",49,"PK-1-D12","","","","","M","",""
"BCSI-2019125-QCST01-118-001","Wednesday, Oct 2, 2019","SOCKEYE",152,"","","",38,"SE-1-B5","","","","","W","BLOOD 348",""
"BCSI-2019125-QCST01-118-002","Wednesday, Oct 2, 2019","SOCKEYE",151,"","","",36,"SE-1-B6","","","","","W","BLOOD 349",""
"BCSI-2019125-QCST01-118-003","Wednesday, Oct 2, 2019","SOCKEYE",167,"","","",50,"SE-1-B7","","","","","W","BLOOD 350",""
"BCSI-2019125-QCST01-118-004","Wednesday, Oct 2, 2019","SOCKEYE",171,"","","",53,"SE-1-B8","","","","","W","BLOOD 351",""
"BCSI-2019125-QCST01-118-005","Wednesday, Oct 2, 2019","SOCKEYE",168,"","","",52,"SE-1-B9","","","","","W","BLOOD 352",""
"BCSI-2019125-QCST01-118-006","Wednesday, Oct 2, 2019","SOCKEYE",170,"","","",57,"SE-1-B10","","","","","M","BLOOD 353",""
"BCSI-2019125-QCST01-118-007","Wednesday, Oct 2, 2019","SOCKEYE",157,"","","",40,"SE-1-B11","","","","","M","BLOOD 354",""
"BCSI-2019125-QCST01-118-008","Wednesday, Oct 2, 2019","SOCKEYE",161,"","","",43,"SE-1-B12","","","","","M","BLOOD 355",""
"BCSI-2019125-QCST01-118-009","Wednesday, Oct 2, 2019","SOCKEYE",170,"","","",52,"SE-1-C1","","","","","M","BLOOD 356",""
"BCSI-2019125-QCST01-118-010","Wednesday, Oct 2, 2019","SOCKEYE",143,"","","",30,"SE-1-C2","","","","","M","BLOOD 357",""
"BCSI-2019125-QCST01-108-001","Wednesday, Oct 2, 2019","PINK",177,"","","",58,"PK-1-E1","","","","","W","",""
"BCSI-2019125-QCST01-108-002","Wednesday, Oct 2, 2019","PINK",150,"","","",37,"PK-1-E2","","","","","W","",""
"BCSI-2019125-QCST01-108-003","Wednesday, Oct 2, 2019","PINK",148,"","","",32,"PK-1-E3","","","","","W","",""
"BCSI-2019125-QCST01-108-004","Wednesday, Oct 2, 2019","PINK",168,"","","",57,"PK-1-E4","","","","","W","",""
"BCSI-2019125-QCST01-108-005","Wednesday, Oct 2, 2019","PINK",195,"","","",88,"PK-1-E5","","","","","W","",""
"BCSI-2019125-QCST01-108-006","Wednesday, Oct 2, 2019","PINK",152,"","","",37,"PK-1-E6","","","","","M","",""
"BCSI-2019125-QCST01-108-007","Wednesday, Oct 2, 2019","PINK",173,"","","",57,"PK-1-E7","","","","","M","",""
"BCSI-2019125-QCST01-108-008","Wednesday, Oct 2, 2019","PINK",157,"","","",43,"PK-1-E8","","","","","M","",""
"BCSI-2019125-QCST01-108-009","Wednesday, Oct 2, 2019","PINK",169,"","","",50,"PK-1-E9","","","","","M","",""
"BCSI-2019125-QCST01-108-010","Wednesday, Oct 2, 2019","PINK",172,"","","",56,"PK-1-E10","","","","","M","",""
"BCSI-2019125-QCST01-108-011","Wednesday, Oct 2, 2019","PINK",180,"","","",74,"","","","","","","",""
"BCSI-2019125-QCST01-108-012","Wednesday, Oct 2, 2019","PINK",177,"","","",54,"","","","","","","",""
"BCSI-2019125-QCST01-108-013","Wednesday, Oct 2, 2019","PINK",209,"","","",102,"","","","","","","",""
"BCSI-2019125-QCST01-108-014","Wednesday, Oct 2, 2019","PINK",158,"","","",42,"","","","","","","",""
"BCSI-2019125-QCST01-108-015","Wednesday, Oct 2, 2019","PINK",190,"","","",81,"","","","","","","",""
"BCSI-2019125-QCST01-108-016","Wednesday, Oct 2, 2019","PINK",158,"","","",43,"","","","","","","",""
"BCSI-2019125-QCST01-108-017","Wednesday, Oct 2, 2019","PINK",179,"","","",70,"","","","","","","",""
"BCSI-2019125-QCST01-108-018","Wednesday, Oct 2, 2019","PINK",160,"","","",48,"","","","","","","",""
"BCSI-2019125-QCST01-108-019","Wednesday, Oct 2, 2019","PINK",195,"","","",84,"","","","","","","",""
"BCSI-2019125-QCST01-108-020","Wednesday, Oct 2, 2019","PINK",172,"","","",60,"","","","","","","",""
"BCSI-2019125-QCST01-108-021","Wednesday, Oct 2, 2019","PINK",156,"","","",43,"","","","","","","",""
"BCSI-2019125-QCST01-108-022","Wednesday, Oct 2, 2019","PINK",141,"","","",29,"","","","","","","",""
"BCSI-2019125-QCST01-108-023","Wednesday, Oct 2, 2019","PINK",161,"","","",52,"","","","","","","",""
"BCSI-2019125-QCST01-108-024","Wednesday, Oct 2, 2019","PINK",177,"","","",66,"","","","","","","",""
"BCSI-2019125-QCST01-108-025","Wednesday, Oct 2, 2019","PINK",171,"","","",57,"","","","","","","",""
"BCSI-2019125-QCST01-108-026","Wednesday, Oct 2, 2019","PINK",170,"","","",57,"","","","","","","",""
"BCSI-2019125-QCST01-108-027","Wednesday, Oct 2, 2019","PINK",170,"","","",57,"","","","","","","",""
"BCSI-2019125-QCST01-108-028","Wednesday, Oct 2, 2019","PINK",190,"","","",82,"","","","","","","",""
"BCSI-2019125-QCST01-108-029","Wednesday, Oct 2, 2019","PINK",182,"","","",66,"","","","","","","",""
"BCSI-2019125-QCST01-108-030","Wednesday, Oct 2, 2019","PINK",171,"","","",57,"","","","","","","",""
"BCSI-2019125-QCST01-124-001","Wednesday, Oct 2, 2019","CHINOOK",185,"","","",70,"CK-1-B10","","","","","W","",""
"BCSI-2019125-QCST01-NA-001","Wednesday, Oct 2, 2019","HERRING",145,"","","",33,"","","","","","","",""
"BCSI-2019125-QCST01-NA-001","Wednesday, Oct 2, 2019","SABLEFISH",246,"","","",137,"","","","","","W","",""
"BCSI-2019125-QCST01-NA-002","Wednesday, Oct 2, 2019","SABLEFISH",235,"","","",136,"","","","","","W","",""
"BCSI-2019125-QCST01-NA-003","Wednesday, Oct 2, 2019","SABLEFISH",249,"","","",126,"","","","","","W","",""
"BCSI-2019125-QCST01-NA-004","Wednesday, Oct 2, 2019","SABLEFISH",244,"","","",136,"","","","","","W","",""
"BCSI-2019125-QCST01-NA-005","Wednesday, Oct 2, 2019","SABLEFISH",247,"","","",139,"","","","","","W","",""
"BCSI-2019125-QCST01-NA-006","Wednesday, Oct 2, 2019","SABLEFISH",213,"","","",89,"","","","","","M","",""
"BCSI-2019125-QCST01-NA-007","Wednesday, Oct 2, 2019","SABLEFISH",240,"","","",125,"","","","","","M","",""
"BCSI-2019125-QCST01-NA-008","Wednesday, Oct 2, 2019","SABLEFISH",235,"","","",122,"","","","","","M","",""
"BCSI-2019125-QCST01-NA-009","Wednesday, Oct 2, 2019","SABLEFISH",242,"","","",113,"","","","","","M","",""
"BCSI-2019125-QCST01-NA-010","Wednesday, Oct 2, 2019","SABLEFISH",250,"","","",131,"","","","","","M","",""
"BCSI-2019125-QCST01-NA-011","Wednesday, Oct 2, 2019","SABLEFISH",243,"","","",130,"","","","","","","",""
"BCSI-2019125-QCST01-NA-012","Wednesday, Oct 2, 2019","SABLEFISH",241,"","","",122,"","","","","","","",""
"BCSI-2019125-QCST01-NA-013","Wednesday, Oct 2, 2019","SABLEFISH",239,"","","",123,"","","","","","","",""
"BCSI-2019125-QCST01-NA-014","Wednesday, Oct 2, 2019","SABLEFISH",225,"","","",104,"","","","","","","",""
"BCSI-2019125-QCST01-NA-015","Wednesday, Oct 2, 2019","SABLEFISH",227,"","","",115,"","","","","","","",""
"BCSI-2019125-QCST01-NA-016","Wednesday, Oct 2, 2019","SABLEFISH",230,"","","",101,"","","","","","","",""
"BCSI-2019125-QCST01-NA-017","Wednesday, Oct 2, 2019","SABLEFISH",241,"","","",137,"","","","","","","",""
"BCSI-2019125-QCST01-NA-018","Wednesday, Oct 2, 2019","SABLEFISH",247,"","","",148,"","","","","","","",""
"BCSI-2019125-QCST01-NA-019","Wednesday, Oct 2, 2019","SABLEFISH",238,"","","",142,"","","","","","","",""
"BCSI-2019125-QCST01-NA-020","Wednesday, Oct 2, 2019","SABLEFISH",257,"","","",138,"","","","","","","",""
"BCSI-2019125-QCST01-NA-021","Wednesday, Oct 2, 2019","SABLEFISH",234,"","","",125,"","","","","","","",""
"BCSI-2019125-QCST01-NA-022","Wednesday, Oct 2, 2019","SABLEFISH",233,"","","",114,"","","","","","","",""
"BCSI-2019125-QCST01-NA-023","Wednesday, Oct 2, 2019","SABLEFISH",237,"","","",124,"","","","","","","",""
"BCSI-2019125-QCST01-NA-024","Wednesday, Oct 2, 2019","SABLEFISH",240,"","","",116,"","","","","","","",""
"BCSI-2019125-QCST01-NA-025","Wednesday, Oct 2, 2019","SABLEFISH",228,"","","",109,"","","","","","","",""
"BCSI-2019125-QCST01-NA-026","Wednesday, Oct 2, 2019","SABLEFISH",236,"","","",120,"","","","","","","",""
"BCSI-2019125-QCST01-NA-027","Wednesday, Oct 2, 2019","SABLEFISH",236,"","","",128,"","","","","","","",""
"BCSI-2019125-QCST01-112-001","Wednesday, Oct 2, 2019","CHUM",198,"","","",82,"CM-1-C10","","","","","W","",""
"BCSI-2019125-QCST01-112-002","Wednesday, Oct 2, 2019","CHUM",200,"","","",97,"CM-1-C11","","","","","W","",""
"BCSI-2019125-QCST01-112-003","Wednesday, Oct 2, 2019","CHUM",203,"","","",105,"CM-1-C12","","","","","W","",""
"BCSI-2019125-QCST01-112-004","Wednesday, Oct 2, 2019","CHUM",205,"","","",98,"CM-1-D1","","","","","W","",""
"BCSI-2019125-QCST01-112-005","Wednesday, Oct 2, 2019","CHUM",201,"","","",93,"CM-1-D2","","","","","W","",""
"BCSI-2019125-QCST01-112-006","Wednesday, Oct 2, 2019","CHUM",174,"","","",51,"CM-1-D3","","","","","M","",""
"BCSI-2019125-QCST01-112-007","Wednesday, Oct 2, 2019","CHUM",207,"","","",107,"CM-1-D4","","","","","M","",""
"BCSI-2019125-QCST01-112-008","Wednesday, Oct 2, 2019","CHUM",193,"","","",95,"CM-1-D5","","","","","M","",""
"BCSI-2019125-QCST01-112-009","Wednesday, Oct 2, 2019","CHUM",166,"","","",47,"CM-1-D6","","","","","M","",""
"BCSI-2019125-QCST01-112-010","Wednesday, Oct 2, 2019","CHUM",204,"","","",94,"CM-1-D7","","","","","M","",""
"BCSI-2019125-QCST01-112-011","Wednesday, Oct 2, 2019","CHUM",198,"","","",87,"","","","","","","",""
"BCSI-2019125-QCST01-112-012","Wednesday, Oct 2, 2019","CHUM",191,"","","",79,"","","","","","","",""
"BCSI-2019125-QCST01-112-013","Wednesday, Oct 2, 2019","CHUM",211,"","","",105,"","","","","","","",""
"BCSI-2019125-QCST01-112-014","Wednesday, Oct 2, 2019","CHUM",194,"","","",85,"","","","","","","",""
"BCSI-2019125-QCST01-112-015","Wednesday, Oct 2, 2019","CHUM",207,"","","",103,"","","","","","","",""
"BCSI-2019125-QCST01-112-016","Wednesday, Oct 2, 2019","CHUM",216,"","","",124,"","","","","","","",""
"BCSI-2019125-QCST01-112-017","Wednesday, Oct 2, 2019","CHUM",207,"","","",106,"","","","","","","",""
"BCSI-2019125-QCST01-112-018","Wednesday, Oct 2, 2019","CHUM",222,"","","",130,"","","","","","","",""
"BCSI-2019125-QCST01-112-019","Wednesday, Oct 2, 2019","CHUM",202,"","","",91,"","","","","","","",""
"BCSI-2019125-QCST01-112-020","Wednesday, Oct 2, 2019","CHUM",192,"","","",86,"","","","","","","",""
"BCSI-2019125-QCST01-112-021","Wednesday, Oct 2, 2019","CHUM",177,"","","",65,"","","","","","","",""
"BCSI-2019125-QCST01-112-022","Wednesday, Oct 2, 2019","CHUM",201,"","","",95,"","","","","","","",""
"BCSI-2019125-QCST01-112-023","Wednesday, Oct 2, 2019","CHUM",207,"","","",111,"","","","","","","",""
"BCSI-2019125-QCST01-112-024","Wednesday, Oct 2, 2019","CHUM",209,"","","",103,"","","","","","","",""
"BCSI-2019125-QCST01-112-025","Wednesday, Oct 2, 2019","CHUM",194,"","","",89,"","","","","","","",""
"BCSI-2019125-QCST01-112-026","Wednesday, Oct 2, 2019","CHUM",213,"","","",105,"","","","","","","",""
"BCSI-2019125-QCST01-112-027","Wednesday, Oct 2, 2019","CHUM",206,"","","",96,"","","","","","","",""
"BCSI-2019125-QCST01-112-028","Wednesday, Oct 2, 2019","CHUM",210,"","","",104,"","","","","","","",""
"BCSI-2019125-QCST01-112-029","Wednesday, Oct 2, 2019","CHUM",214,"","","",112,"","","","","","","",""
"BCSI-2019125-QCST01-112-030","Wednesday, Oct 2, 2019","CHUM",202,"","","",100,"","","","","","","",""
"BCSI-2019125-QCST02-124-001","Wednesday, Oct 2, 2019","CHINOOK",195,"","","",82,"CK-1-B11","","","","","W","",""
"BCSI-2019125-QCST02-124-002","Wednesday, Oct 2, 2019","CHINOOK",213,"","","",122,"CK-1-B12","","","","","W","",""
"BCSI-2019125-QCST02-124-003","Wednesday, Oct 2, 2019","CHINOOK",239,"","","",168,"CK-1-C1","","","","","W","",""
"BCSI-2019125-QCST02-NA-001","Wednesday, Oct 2, 2019","SABLEFISH",247,"","","",136,"","","","","","M","",""
"BCSI-2019125-QCST02-NA-002","Wednesday, Oct 2, 2019","SABLEFISH",267,"","","",163,"","","","","","M","",""
"BCSI-2019125-QCST02-NA-003","Wednesday, Oct 2, 2019","SABLEFISH",247,"","","",132,"","","","","","M","",""
"BCSI-2019125-QCST02-NA-004","Wednesday, Oct 2, 2019","SABLEFISH",229,"","","",104,"","","","","","M","",""
"BCSI-2019125-QCST02-NA-005","Wednesday, Oct 2, 2019","SABLEFISH",252,"","","",135,"","","","","","M","",""
"BCSI-2019125-QCST02-NA-006","Wednesday, Oct 2, 2019","SABLEFISH",232,"","","",113,"","","","","","","",""
"BCSI-2019125-QCST02-NA-007","Wednesday, Oct 2, 2019","SABLEFISH",242,"","","",120,"","","","","","","",""
"BCSI-2019125-QCST02-NA-008","Wednesday, Oct 2, 2019","SABLEFISH",250,"","","",123,"","","","","","","",""
"BCSI-2019125-QCST02-NA-009","Wednesday, Oct 2, 2019","SABLEFISH",232,"","","",106,"","","","","","","",""
"BCSI-2019125-QCST02-NA-010","Wednesday, Oct 2, 2019","SABLEFISH",247,"","","",132,"","","","","","","",""
"BCSI-2019125-QCST02-NA-011","Wednesday, Oct 2, 2019","SABLEFISH",243,"","","",130,"","","","","","","",""
"BCSI-2019125-QCST02-NA-012","Wednesday, Oct 2, 2019","SABLEFISH",248,"","","",128,"","","","","","","",""
"BCSI-2019125-QCST02-NA-013","Wednesday, Oct 2, 2019","SABLEFISH",246,"","","",133,"","","","","","","",""
"BCSI-2019125-QCST03-115-001","Wednesday, Oct 2, 2019","COHO",284,"","","",316,"CO-1-A2","","","AD","","M","",""
"BCSI-2019125-QCST03-115-002","Wednesday, Oct 2, 2019","COHO",262,"","","",231,"CO-1-A3","","","","","M","",""
"BCSI-2019125-QCST03-115-003","Wednesday, Oct 2, 2019","COHO",242,"","","",177,"CO-1-A4","","","","","M","",""
"BCSI-2019125-QCST03-115-004","Wednesday, Oct 2, 2019","COHO",320,"","","",406,"CO-1-A5","","","AD","F","M","",""
"BCSI-2019125-QCST03-NA-001","Wednesday, Oct 2, 2019","SABLEFISH",245,"","","",123,"","","","","","M","",""
"BCSI-2019125-QCST03-NA-002","Wednesday, Oct 2, 2019","SABLEFISH",230,"","","",106,"","","","","","M","",""
"BCSI-2019125-QCST03-NA-003","Wednesday, Oct 2, 2019","SABLEFISH",230,"","","",115,"","","","","","M","",""
"BCSI-2019125-QCST03-NA-004","Wednesday, Oct 2, 2019","SABLEFISH",249,"","","",125,"","","","","","M","",""
"BCSI-2019125-QCST03-NA-005","Wednesday, Oct 2, 2019","SABLEFISH",230,"","","",105,"","","","","","M","",""
"BCSI-2019125-QCST03-NA-006","Wednesday, Oct 2, 2019","SABLEFISH",235,"","","",114,"","","","","","","",""
"BCSI-2019125-QCST03-NA-007","Wednesday, Oct 2, 2019","SABLEFISH",241,"","","",126,"","","","","","","",""
