fish,event,fl,circ,clip,dna,acoustic,pit
CK109,CT2019_099,61,33,N,509,NA,989.001030620113
CK110,CT2019_099,57,31,N,510,NA,989.001030620141
CK111,CT2019_099,74,46,Y,511,7733,989.001030620098
CK112,CT2019_100,60,32,Y,512,NA,989.001030620157
CK113,CT2019_100,81,47,Y,513,7734,989.001030620096
CK114,CT2019_100,65,39,Y,514,7735,989.001030620129
CK115,CT2019_100,78,50,N,515,7736,989.001030620126
CK116,CT2019_100,70,38,Y,516,7737,989.001030620104
CK117,CT2019_100,78,47,N,517,NA,989.001030620112
CK118,CT2019_101,79,47,Y,518,7738,989.001030620135
CK119,CT2019_102,55,30,N,519,NA,989.001030620107
CK120,CT2019_103,64,36,N,520,7910,989.001030620076
CK121,CT2019_103,82,48,Y,521,NA,989.001030620127
CK122,CT2019_104,75,43,N,522,7911,989.001030620125
CK123,CT2019_104,84,51,N,523,7912,989.001030620101
CK124,CT2019_105,86,51,Y,524,NA,989.001030620085
CK125,CT2019_105,74,43,N,525,NA,989.001030620130
CK126,CT2019_106,71,36,Y,526,7913,989.001030620136
CK127,CT2019_107,79,44,Y,527,7914,989.001030620092
CK128,CT2019_107,83,48,Y,528,7915,989.001030620087
CK129,CT2019_107,76,45,N,529,NA,989.001030620106
CK130,CT2019_108,82,46,N,530,7916,989.001030620133
CK131,CT2019_108,75,45,N,531,7917,989.001030620158
CK132,CT2019_108,81,48,N,532,7918,989.001030620159
CK133,CT2019_108,77,43,N,533,7919,989.001030620080
CK134,CT2019_110,86,48,N,534,7920,989.001030620155
CK135,CT2019_110,80,48,N,535,7921,989.001030620132
CK136,CT2019_110,85,49,N,536,7922,989.001030620139
CK137,CT2019_111,83,47,Y,537,NA,989.001030620150
CK138,CT2019_111,83,54,N,538,7923,989.001030620114
CK139,CT2019_111,79,48,Y,539,NA,989.001030620071
CK140,CT2019_112,72,43,Y,540,NA,989.001030620094
CK141,CT2019_113,63,34,N,541,NA,989.001030620082
CK142,CT2019_113,75,45,Y,542,NA,989.001030620120
CK143,CT2019_113,66,36,N,543,NA,989.001030620074
CK144,CT2019_115,76,45,N,544,7924,989.001030620066
CK145,CT2019_115,79,47,Y,545,NA,989.001030620079
CK146,CT2019_115,52,27,Y,546,NA,989.001030620068
CK147,CT2019_116,73,43,Y,547,7925,989.001030620109
CK148,CT2019_116,64,39,Y,548,NA,989.001030620064
CK149,CT2019_117,78,47,N,549,NA,989.001030620147
CK150,CT2019_117,78,47,N,550,7926,989.001030620149
CK151,CT2019_117,68,37,Y,551,NA,989.001030620091
CK152,CT2019_117,61,31,N,552,NA,989.001030620148
CK153,CT2019_117,52,28,Y,553,NA,989.001030620083
CK154,CT2019_118,71,42,Y,554,NA,989.001030620134
CK155,CT2019_118,70,42,Y,555,NA,989.001030620142
CK156,CT2019_118,63,32,Y,556,NA,989.001030620128
CK157,CT2019_118,79,43,N,557,7927,989.001030620138
CK158,CT2019_118,65,38,Y,558,NA,989.001030620151
CK159,CT2019_119,63,36,N,559,NA,989.001030620084
CK160,CT2019_119,71,44,N,560,7928,989.001030620093
CK161,CT2019_119,69,42,N,561,NA,989.001030620065
CK162,CT2019_119,67,39,Y,562,NA,989.001030620110
CK163,CT2019_119,62,33,Y,563,NA,989.001030620099
CK164,CT2019_120,61,32,N,564,NA,989.001030620154
CK165,CT2019_120,66,38,N,565,NA,989.001030620152
CK166,CT2019_120,76,42,N,566,NA,989.001030620121
CK167,CT2019_120,67,40,Y,567,NA,989.001030620118
CK168,CT2019_120,70,40,N,568,NA,989.001030620069
CK169,CT2019_120,92,57,N,569,NA,989.001030620089
CK170,CT2019_120,79,50,Y,570,NA,989.001030620146
CK171,CT2019_122,67,40,N,571,NA,989.001030620137
CK172,CT2019_123,83,49,N,572,NA,989.001030620160
CK173,CT2019_123,78,46,N,573,NA,989.001030620105
CK174,CT2019_123,78,42,N,574,7929,989.001030620078
CK175,CT2019_124,72,44,Y,575,NA,989.001030620089
CK176,CT2019_124,60,34,Y,576,NA,989.001030620124
CK177,CT2019_124,72,40,N,577,NA,989.001030620119
CK178,CT2019_124,76,47,Y,578,NA,989.001030620123
CK179,CT2019_125,79,42,Y,579,NA,989.001030620111
CK180,CT2019_125,69,42,N,580,NA,989.001030620075
CK181,CT2019_125,78,44,N,581,NA,989.001030620116
CK182,CT2019_125,72,41,N,582,NA,989.001030620067
CK183,CT2019_125,63,38,N,583,NA,989.001030620100
CK184,CT2019_126,71,45,N,584,NA,989.001030620122
CK185,CT2019_129,73,45,N,585,NA,989.001030620095
CK186,CT2019_129,82,54,Y,586,7930,989.001030620115
CK187,CT2019_130,63,38,Y,587,NA,989.001030620070
CK188,CT2019_130,83,48,N,588,NA,989.001030620097
CK189,CT2019_133,64,37,Y,589,NA,989.001030620086
CK190,CT2019_134,63,35,N,801,NA,989.001030620131
CK191,CT2019_134,77,44,N,802,7931,989.001030620663
CK192,CT2019_135,76,44,Y,803,NA,989.001030620143
CK193,CT2019_136,74,45,Y,804,NA,989.001030620108
CK194,CT2019_141,80,47,Y,805,7932,989.001030620102
CK195,CT2019_148,78,47,Y,806,7933,989.001030620090
CK196,CT2019_148,77,47,N,807,7934,989.001030620061
