ID_NUM,SPECIES,SCIENTIFIC_NAME,SPECIES_URN_LSID,LIFE_STAGE_URN_LABEL,FISH_NUM,DATE_TIME_ISO8601,LOCATION,AREA,TIME_PER,LATITUDE,LONGITUDE,LENGTH,TAG,OTOLITHS,OTOLITH,TRAY_CELL,SCALE,PRESERV,TAG_CODE,SPECIES_AC,SPECIES_AB,BROOD_YEAR,HATCHERY,REL_SITE,PROV_STATE,FIRST_REL,LAST_REL,REMARKS
90-379,CHINOOK SALMON SMOLT,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,SDN:S11::S1173 (smolt),D,1990-07-11T06:08-07:00,CHUP POINT,2,6,48.9592,-125.0317,134,TRUE,,CH-B-099-2,,1225-35/36,U,02-01-46,CHINOOK,CHIN,89,0104-ROBERTSON CREEK,2415-POET'S NOOK,BC,5/19/1990,5/19/1990,
90-380,CHINOOK SALMON SMOLT,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,SDN:S11::S1173 (smolt),A,1990-07-11T07:04-07:00,BURROUGH POINT,1,6,48.9783,-124.9892,122,TRUE,,CH-B-100-2,,1225-37/38,U,,,CHIN,,,,,,,TAG LOST
90-380,CHINOOK SALMON SMOLT,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,SDN:S11::S1173 (smolt),B,1990-07-11T07:04-07:00,BURROUGH POINT,1,6,48.9783,-124.9892,133,TRUE,,CH-C-001-2,,1225-39/40,U,02-04-42,CHINOOK,CHIN,89,0104-ROBERTSON CREEK,2143-NAHMINT ESTUARY,BC,5/16/1990,5/16/1990,
90-380,CHINOOK SALMON SMOLT,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,SDN:S11::S1173 (smolt),C,1990-07-11T07:04-07:00,BURROUGH POINT,1,6,48.9783,-124.9892,139,TRUE,,CH-C-002-2,,1225-41/42,U,02-06-45,CHINOOK,CHIN,89,0104-ROBERTSON CREEK,0104-ROBERTSON CREEK,BC,5/23/1990,6/5/1990,
90-381,CHINOOK SALMON SMOLT,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,SDN:S11::S1173 (smolt),A,1990-07-11T08:09-07:00,BERNARD POINT,1,6,48.9475,-124.9975,88,TRUE,,CH-C-003-2,,1225-43/44,U,02-06-48,CHINOOK,CHIN,89,0104-ROBERTSON CREEK,0104-ROBERTSON CREEK,BC,5/27/1990,6/5/1990,
90-381,CHINOOK SALMON SMOLT,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,SDN:S11::S1173 (smolt),B,1990-07-11T08:09-07:00,BERNARD POINT,1,6,48.9475,-124.9975,119,TRUE,,CH-C-004-2,,1225-45/46,U,02-02-30,CHINOOK,CHIN,89,0104-ROBERTSON CREEK,2731-CHINA CREEK,BC,5/17/1990,5/17/1990,SCALES FROM NON-PREFERRED AREA
90-381,CHINOOK SALMON SMOLT,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,SDN:S11::S1173 (smolt),C,1990-07-11T08:09-07:00,BERNARD POINT,1,6,48.9475,-124.9975,135,TRUE,,CH-C-005-2,,1225-47/48,U,02-01-47,CHINOOK,CHIN,89,0104-ROBERTSON CREEK,2415-POET'S NOOK,BC,5/19/1990,5/19/1990,
90-382,CHINOOK SALMON SMOLT,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,SDN:S11::S1173 (smolt),A,1990-07-11T09:12-07:00,CONGREVE ISLAND,2,6,48.9183,-125.0208,89,TRUE,,CH-C-006-2,,1225-49/50,U,02-09-48,CHINOOK,CHIN,89,0104-ROBERTSON CREEK,0104-ROBERTSON CREEK,BC,5/27/1990,6/5/1990,
90-382,CHINOOK SALMON SMOLT,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,SDN:S11::S1173 (smolt),B,1990-07-11T09:12-07:00,CONGREVE ISLAND,2,6,48.9183,-125.0208,118,TRUE,,CH-C-007-1,,1226-01/02,U,02-09-51,CHINOOK,CHIN,89,0104-ROBERTSON CREEK,0104-ROBERTSON CREEK,BC,5/28/1990,6/5/1990,MECHANICAL SCRATCH ON TAG
90-382,CHINOOK SALMON SMOLT,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,SDN:S11::S1173 (smolt),C,1990-07-11T09:12-07:00,CONGREVE ISLAND,2,6,48.9183,-125.0208,137,TRUE,,CH-C-008-2,,1226-03/04,U,02-04-42,CHINOOK,CHIN,89,0104-ROBERTSON CREEK,2143-NAHMINT ESTUARY,BC,5/16/1990,5/16/1990,
90-383,CHINOOK SALMON SMOLT,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,SDN:S11::S1173 (smolt),A,1990-07-11T10:12-07:00,NANAT BAY,2,6,48.8825,-125.0767,85,TRUE,,CH-C-009-1,,1226-05/06,U,02-09-48,CHINOOK,CHIN,89,0104-ROBERTSON CREEK,0104-ROBERTSON CREEK,BC,5/27/1990,6/5/1990,SCALES FROM NON-PREFERRED AREA
